StudentID,CGPA,Internships,Projects,Certifications,Aptitude_Score,Soft_Skills_Rating,Extracurricular_Activities,Placement_Training,Secondary_School_Marks,Higher_Secondary_Marks,Placement_Status,Total_Academic_Score
1,7.5,1,1,1,65,4.4,No,No,61,79,NotPlaced,140
2,8.9,0,3,2,90,4.0,Yes,Yes,78,82,Placed,179
3,7.3,1,2,2,82,4.8,Yes,No,79,80,NotPlaced,155
4,7.5,1,1,2,85,4.4,Yes,Yes,81,80,Placed,160
5,8.3,1,2,2,86,4.5,Yes,Yes,74,88,Placed,169
6,7.0,0,2,2,71,4.2,Yes,No,55,66,NotPlaced,141
7,7.7,1,1,1,76,4.0,No,No,62,65,NotPlaced,153
8,7.7,2,1,0,85,3.5,Yes,Yes,59,72,NotPlaced,162
9,6.5,1,1,0,84,3.9,No,Yes,75,71,NotPlaced,149
10,7.8,1,3,2,79,4.4,Yes,Yes,85,86,Placed,157
11,8.3,2,3,2,90,4.8,Yes,Yes,82,88,Placed,173
12,7.9,1,3,2,90,4.8,Yes,Yes,71,87,Placed,169
13,8.3,2,3,2,90,4.5,Yes,Yes,84,83,Placed,173
14,7.7,1,1,1,74,4.6,No,Yes,63,73,NotPlaced,151
15,7.5,1,1,1,66,4.1,No,No,61,66,NotPlaced,141
16,7.4,0,2,1,78,4.4,No,No,63,66,NotPlaced,152
17,8.6,0,3,0,84,4.8,Yes,Yes,62,78,Placed,170
18,8.2,2,3,2,90,4.7,Yes,Yes,84,86,Placed,172
19,6.8,2,3,0,73,4.4,Yes,Yes,72,82,Placed,141
20,7.4,1,2,0,70,4.4,No,Yes,58,63,NotPlaced,144
21,7.6,2,1,0,84,4.4,No,Yes,77,75,Placed,160
22,7.4,1,2,1,72,3.5,No,Yes,82,69,Placed,146
23,7.7,0,1,0,77,3.4,No,Yes,55,72,Placed,154
24,7.4,1,1,0,60,3.8,No,No,55,71,NotPlaced,134
25,7.4,1,2,1,90,4.3,No,Yes,56,69,NotPlaced,164
26,6.7,1,1,1,70,4.0,No,No,68,57,NotPlaced,137
27,7.4,2,3,2,78,4.3,Yes,Yes,76,82,NotPlaced,152
28,8.3,1,1,1,81,4.5,Yes,Yes,64,65,NotPlaced,164
29,7.5,1,2,1,84,4.4,No,No,66,73,NotPlaced,159
30,7.0,0,1,1,63,3.9,No,Yes,60,61,NotPlaced,133
31,8.4,2,3,2,90,4.6,Yes,Yes,55,80,Placed,174
32,7.4,1,2,1,76,4.7,No,Yes,66,69,NotPlaced,150
33,8.5,1,3,0,90,4.8,Yes,Yes,85,85,Placed,175
34,8.6,1,2,2,75,4.3,Yes,Yes,62,80,Placed,161
35,6.9,0,1,0,70,3.9,No,Yes,79,68,Placed,139
36,7.8,1,1,1,67,4.3,No,No,65,73,NotPlaced,145
37,8.3,1,2,2,89,4.8,Yes,Yes,75,81,Placed,172
38,8.2,1,2,2,77,4.2,No,Yes,72,72,Placed,159
39,8.5,2,3,3,90,4.7,Yes,Yes,79,86,Placed,175
40,6.7,0,3,2,88,4.2,Yes,Yes,72,86,Placed,155
41,8.6,2,3,1,90,4.8,Yes,Yes,63,84,Placed,176
42,8.3,2,3,2,85,4.8,Yes,Yes,77,83,Placed,168
43,6.7,0,1,1,72,4.4,No,No,55,60,NotPlaced,139
44,8.6,2,3,2,88,4.7,Yes,Yes,80,87,Placed,174
45,7.4,1,3,0,86,4.8,No,Yes,70,73,NotPlaced,160
46,6.7,1,1,2,73,4.5,No,No,55,66,Placed,140
47,6.9,1,1,1,76,4.4,No,No,55,65,NotPlaced,145
48,7.0,1,1,0,62,4.3,No,Yes,59,67,NotPlaced,132
49,8.1,1,3,2,90,4.6,Yes,Yes,77,87,Placed,171
50,7.7,1,2,0,74,3.8,Yes,No,55,66,NotPlaced,151
51,6.5,0,2,1,77,4.8,No,Yes,56,65,NotPlaced,142
52,8.2,1,3,0,65,4.1,Yes,No,66,65,NotPlaced,147
53,8.1,2,3,2,90,4.7,Yes,Yes,82,82,Placed,171
54,6.5,1,2,1,80,4.5,Yes,Yes,72,67,NotPlaced,145
55,6.5,0,2,1,72,4.5,No,No,57,69,NotPlaced,137
56,8.8,2,3,2,90,4.8,Yes,Yes,86,88,Placed,178
57,8.0,1,1,0,74,4.5,Yes,Yes,55,65,NotPlaced,154
58,8.4,2,2,2,81,4.6,Yes,Yes,77,82,Placed,165
59,8.0,1,1,0,86,4.2,No,No,55,83,NotPlaced,166
60,6.6,0,1,0,76,3.9,No,Yes,78,69,Placed,142
61,7.7,2,2,0,86,4.0,Yes,Yes,79,64,NotPlaced,163
62,8.2,1,2,1,86,4.3,Yes,Yes,86,63,Placed,168
63,7.2,1,2,0,74,4.1,No,No,70,65,NotPlaced,146
64,6.6,1,2,1,72,4.1,No,No,55,75,NotPlaced,138
65,7.6,1,2,0,77,4.6,Yes,No,84,67,NotPlaced,153
66,8.0,0,3,0,68,4.2,Yes,No,64,83,Placed,148
67,7.8,2,3,2,87,4.8,Yes,No,90,83,NotPlaced,165
68,7.2,1,1,0,82,4.6,Yes,Yes,57,64,NotPlaced,154
69,7.7,1,1,0,74,4.1,No,Yes,57,68,Placed,151
70,8.4,1,1,2,67,3.8,Yes,Yes,76,69,NotPlaced,151
71,7.5,1,1,1,69,4.3,No,Yes,71,76,NotPlaced,144
72,6.7,0,2,1,79,4.1,No,No,78,67,NotPlaced,146
73,8.1,2,3,2,90,4.8,Yes,Yes,80,86,Placed,171
74,7.5,1,2,0,73,4.4,No,No,66,84,NotPlaced,148
75,7.4,2,1,0,75,4.2,No,Yes,65,84,NotPlaced,149
76,6.5,1,1,0,63,4.5,No,Yes,57,68,NotPlaced,128
77,8.1,1,3,1,90,4.6,Yes,Yes,73,86,Placed,171
78,6.9,1,1,0,83,3.5,No,Yes,61,71,NotPlaced,152
79,8.2,1,3,0,83,4.8,Yes,Yes,71,84,Placed,165
80,7.6,1,2,1,72,3.9,No,Yes,58,66,NotPlaced,148
81,6.6,1,1,1,69,3.6,No,Yes,55,72,NotPlaced,135
82,6.7,1,2,1,74,4.8,Yes,Yes,72,64,Placed,141
83,8.2,2,3,2,76,4.5,Yes,Yes,73,82,NotPlaced,158
84,8.3,2,3,1,90,4.2,Yes,Yes,82,83,Placed,173
85,7.6,0,2,0,86,4.8,Yes,Yes,57,72,Placed,162
86,6.7,1,3,0,87,4.6,Yes,No,81,69,NotPlaced,154
87,8.1,0,2,1,84,3.8,No,No,71,68,NotPlaced,165
88,8.5,1,2,2,79,3.9,Yes,Yes,76,66,Placed,164
89,8.8,1,3,0,76,4.7,Yes,Yes,75,84,Placed,164
90,7.2,1,2,0,68,4.2,Yes,Yes,57,66,NotPlaced,140
91,7.6,1,1,0,80,4.5,Yes,Yes,66,67,NotPlaced,156
92,7.1,1,1,0,70,3.3,No,No,55,66,NotPlaced,141
93,8.1,1,3,2,89,4.6,Yes,Yes,86,80,Placed,170
94,7.4,1,3,0,83,4.2,No,Yes,65,82,NotPlaced,157
95,7.7,2,2,2,85,4.8,Yes,Yes,74,83,NotPlaced,162
96,7.5,0,1,1,75,3.3,No,Yes,61,73,NotPlaced,150
97,7.5,1,1,0,64,4.0,No,No,73,66,NotPlaced,139
98,7.8,2,2,2,90,4.8,Yes,No,81,82,Placed,168
99,7.7,1,3,1,89,4.6,No,Yes,61,84,Placed,166
100,7.9,0,1,2,83,4.8,Yes,No,58,81,NotPlaced,162
101,7.4,1,2,1,63,3.9,No,No,55,67,NotPlaced,137
102,7.3,1,1,0,80,4.7,No,Yes,64,65,NotPlaced,153
103,6.5,1,1,1,62,3.8,No,Yes,58,65,NotPlaced,127
104,7.5,2,1,1,76,4.2,Yes,Yes,57,80,NotPlaced,151
105,6.5,1,1,0,68,4.1,No,No,61,66,NotPlaced,133
106,8.5,2,3,2,90,4.8,Yes,Yes,72,87,Placed,175
107,6.7,0,1,1,74,3.9,No,No,55,70,NotPlaced,141
108,6.5,0,1,0,82,4.4,No,No,65,69,NotPlaced,147
109,8.1,1,3,2,90,4.8,Yes,Yes,79,84,Placed,171
110,8.7,2,3,2,90,4.8,Yes,Yes,79,85,Placed,177
111,8.0,1,1,3,84,4.0,No,Yes,57,61,NotPlaced,164
112,7.3,1,3,1,81,4.2,Yes,Yes,69,65,NotPlaced,154
113,7.4,1,1,1,81,4.1,Yes,No,55,62,NotPlaced,155
114,8.6,2,3,0,81,4.7,Yes,No,71,83,Placed,167
115,6.7,2,1,2,76,4.8,Yes,No,55,78,NotPlaced,143
116,7.6,1,1,1,67,3.5,No,No,55,67,NotPlaced,143
117,8.8,1,3,2,90,4.6,Yes,Yes,83,83,Placed,178
118,6.5,1,2,0,65,4.4,No,Yes,61,68,NotPlaced,130
119,6.5,1,2,1,78,4.2,No,No,62,62,NotPlaced,143
120,7.4,1,2,1,75,4.2,No,Yes,55,74,NotPlaced,149
121,8.7,2,3,2,81,4.7,Yes,Yes,85,79,Placed,168
122,8.0,1,1,1,68,4.2,No,Yes,59,66,NotPlaced,148
123,7.7,1,3,2,90,4.8,Yes,No,80,85,Placed,167
124,7.3,1,1,0,64,3.2,No,Yes,58,67,NotPlaced,137
125,8.4,2,1,2,76,4.1,No,No,56,63,NotPlaced,160
126,7.7,1,2,0,73,4.0,No,Yes,65,75,Placed,150
127,7.5,1,1,1,68,4.7,No,No,58,64,NotPlaced,143
128,7.4,0,1,0,79,4.3,No,No,63,73,NotPlaced,153
129,7.4,1,1,1,64,4.3,No,Yes,73,73,NotPlaced,138
130,8.5,1,2,2,90,4.8,Yes,Yes,80,86,Placed,175
131,8.0,1,3,0,80,4.4,Yes,Yes,85,84,Placed,160
132,6.5,1,1,1,72,3.8,No,No,64,67,NotPlaced,137
133,8.4,1,1,0,81,4.6,Yes,No,78,82,Placed,165
134,8.7,0,3,2,88,4.8,No,No,87,84,NotPlaced,175
135,8.0,0,1,0,60,4.0,No,No,57,70,NotPlaced,140
136,8.4,2,3,1,88,4.6,Yes,Yes,74,82,NotPlaced,172
137,8.2,2,3,2,90,4.4,Yes,Yes,90,81,Placed,172
138,8.1,2,2,2,90,4.5,Yes,Yes,73,82,Placed,171
139,7.9,1,3,1,75,3.7,No,Yes,62,65,NotPlaced,154
140,8.9,2,3,2,90,4.8,Yes,Yes,69,85,Placed,179
141,6.5,1,1,1,72,4.5,No,No,66,70,NotPlaced,137
142,7.6,1,1,0,73,4.3,No,Yes,55,76,Placed,149
143,8.4,1,3,2,90,4.6,Yes,Yes,67,80,Placed,174
144,7.8,2,3,0,77,4.8,Yes,Yes,79,87,NotPlaced,155
145,8.4,1,2,1,74,4.3,Yes,Yes,59,80,Placed,158
146,7.6,1,2,0,74,3.7,No,Yes,58,74,Placed,150
147,7.9,1,1,1,62,4.6,Yes,Yes,87,82,NotPlaced,141
148,7.9,1,3,1,80,4.2,Yes,Yes,56,82,Placed,159
149,8.0,2,1,2,90,4.8,Yes,Yes,74,81,NotPlaced,170
